mindate,maxdate,name,datacoverage,id
1971-05-01,2014-01-01,"St. Louis, MO US",0.0088,CITY:US290021
1971-05-01,2014-01-01,"Warrensburg, MO US",0.0077,CITY:US290022
1971-05-01,2014-01-01,"Washington, MO US",0.008,CITY:US290023
1984-01-01,2014-01-01,"West Plains, MO US",0.0127,CITY:US290024
1999-02-01,2001-09-01,"Billings, MT US",0.0,CITY:US300001
1984-01-01,2000-06-01,"Bozeman, MT US",0.0109,CITY:US300002
1971-05-05,2014-01-01,"Butte, MT US",0.0045,CITY:US300003
1997-04-01,2014-01-01,"Great Falls, MT US",0.0048,CITY:US300004
1982-12-01,1994-02-04,"Helena, MT US",0.0053,CITY:US300005
1979-11-01,2014-01-01,"Beatrice, NE US",0.0082,CITY:US310001
1982-05-05,2012-05-30,"Fremont, NE US",0.0081,CITY:US310003
1971-05-01,2014-01-01,"Kearney, NE US",0.0061,CITY:US310006
1971-04-17,2014-01-01,"Lexington, NE US",0.0062,CITY:US310007
1971-05-03,2014-01-01,"Norfolk, NE US",0.008,CITY:US310009
1998-10-01,2003-01-01,"North Platte, NE US",0.0024,CITY:US310010
1972-11-01,2014-01-01,"Omaha, NE US",0.0089,CITY:US310011
1971-05-02,2014-01-01,"Carson City, NV US",0.0076,CITY:US320002
1975-10-01,2014-01-01,"Elko, NV US",0.0052,CITY:US320003
1971-05-07,2014-01-01,"Reno, NV US",0.0076,CITY:US320006
1984-01-01,2013-02-01,"Berlin, NH US",0.0132,CITY:US330001
1971-05-02,2014-01-01,"Claremont, NH US",0.0442,CITY:US330002
1971-05-02,2014-01-01,"Concord, NH US",0.0394,CITY:US330003
1971-05-02,2007-02-01,"Keene, NH US",0.0116,CITY:US330004
1971-05-02,2014-01-01,"Laconia, NH US",0.0097,CITY:US330005
1984-01-01,2008-12-01,"Manchester, NH US",0.0394,CITY:US330006
1984-01-01,2008-12-01,"Nashua, NH US",0.0098,CITY:US330007
1971-04-03,2014-01-01,"Portsmouth, NH US",0.0094,CITY:US330008
1971-04-03,2014-01-01,"Rochester, NH US",0.0094,CITY:US330009
1984-01-01,2014-01-01,"Jersey City, NJ US",0.0267,CITY:US340001
1971-05-06,1989-01-01,"Lakewood, NJ US",0.0066,CITY:US340002
1984-01-01,2014-01-01,"Newark, NJ US",0.0267,CITY:US340003
1971-02-04,2009-12-30,"Trenton, NJ US",0.013,CITY:US340006
1984-01-01,2014-01-01,"Alamogordo, NM US",0.0036,CITY:US350001
1971-05-28,2014-01-01,"Albuquerque, NM US",0.0045,CITY:US350002
1974-03-20,2014-01-01,"Carlsbad, NM US",0.0028,CITY:US350003
1973-04-03,2014-01-01,"Clovis, NM US",0.0048,CITY:US350004
1977-03-26,2011-03-18,"Deming, NM US",0.0034,CITY:US350005
1984-01-01,2014-01-01,"Farmington, NM US",0.0031,CITY:US350006
1977-09-01,2014-01-01,"Las Cruces, NM US",0.0052,CITY:US350008
1971-06-20,2014-01-01,"Roswell, NM US",0.0034,CITY:US350009
1979-05-02,2014-01-01,"Santa Fe, NM US",0.005,CITY:US350010
1984-01-01,2011-06-16,"Silver City, NM US",0.0051,CITY:US350011
1971-05-02,1999-03-01,"Albany, NY US",0.25,CITY:US360001
1971-05-02,2013-09-01,"Amsterdam, NY US",0.0097,CITY:US360002
1971-05-01,1991-06-12,"Brentwood, NY US",0.0083,CITY:US360004
1984-01-01,2000-06-01,"Brooklyn, NY US",0.0162,CITY:US360005
1971-05-01,1991-06-12,"Commack, NY US",0.0083,CITY:US360007
1971-05-01,2014-01-01,"Coram, NY US",0.0068,CITY:US360008
1973-06-02,2011-07-01,"Elmira, NY US",0.0104,CITY:US360009
1972-04-13,2014-01-01,"Hempstead, NY US",0.0115,CITY:US360010
1971-05-01,2014-01-01,"Huntington Station, NY US",0.0115,CITY:US360011
